,unit,weight
198,61014a3645fe963d65cf4d26a54336e6,0.002
199,93c2dd0cce97a4a92cc1daf36f4e7df2,0.002
201,3311ec64604741a914e0441c731dde71,0.002
202,a938582af12af32f2605172e025d077e,0.002
203,c185032995df20b0c9ef9ae52dd95ccb,0.002
204,1daec4b51aa36f6ddc1597d64e1bc42d,0.002
205,137727b0048689a91bafba6e2a6fc89f,0.002
206,02c79e63cc9f3f9722ad613c1f0831f7,0.002
207,15e27721c2e99e7897d613a5f281a92c,0.002
208,a84beba8ac7fae6d206072e9b8d44471,0.002
209,56862dbf28a0e3a83a86370e2dcb14ac,0.002
210,32f3048da47f7f33319630b0d2ec3810,0.002
211,a5b46ef9137efa1eaf61519475374f98,0.002
213,52146622c33726498164d83c10307c01,0.002
214,cee2c6a016c61f3d8fb43fcfc63dc9e9,0.002
215,5297c806230b638ba013a37209d6a6fd,0.002
218,073bda620caa648719cd2a3b2228d717,0.002
220,4e2d7b463d1ed954543607a130b1509f,0.002
221,87daf0158a4b1df6c72a8ff10c518b75,0.002
223,ee017293437cd250a8b9f6445df5f8c5,0.002
224,27678e453a20126fee7e719fb4b6f933,0.002
225,46c676232eb78bb625e8daa0adb61cae,0.002
226,b831e8a16aa20eca762325784878f565,0.002
228,92f4e2c4019278537f47b437ccb3ced1,0.002
230,10de1d29ba5fa5ebd390733ce5b198b7,0.002
232,9a5937b872439372f2dc766e7d7955db,0.002
233,2f3f91abf4612aed8242157698c2e91a,0.002
234,8f0267985925332ce155aa4f905e493d,0.002
235,eada20c4ba7316435e9c6b3d0612abb8,0.002
236,631758d7a71c398d80538c844d3f17cc,0.002
238,05e57068aebed7497f67ace6025434e7,0.002
239,dcdd4dc16e6e1d33be9a490b5fdc6c24,0.002
241,5e1a688825e36b3b2ddfdacea136b9a8,0.002
243,b5c6c501aa0f5f34d63fbc6259cd4056,0.002
244,2aac0388929aa523fb80fd6b633fa66f,0.002
245,9e96aa93104748055a89c8ce6be12208,0.002
246,450d347bfcecaca1001019c407af05ba,0.002
248,be3aee91b31d8c0350a2f0ed2d21b9a3,0.002
252,8cecb832507fbc89282c0d506c3f9253,0.002
253,cfacc893c2abb6b165279cdec6d78a0d,0.002
255,0d778a5d96b8e84ff6c4650ca4741814,0.002
256,830dd3620bc18f86de4d882c8e67b6ad,0.002
260,e499a8c73b625858280ee8fd71f4118a,0.002
261,ec6ca57a9ab96da37b77f5cfd7ce6c8e,0.002
262,5284a12e6e8696b4468c015194777dee,0.002
263,50c7e81ac5d551c573904da2815a0dff,0.002
265,54723c8eea4b2ec11ace4f60962432be,0.002
267,091e56749c44bef9f58eec0c9ed60280,0.002
268,c890028862f314c9a5f2ad7b21e77af1,0.002
269,159cb1b7310e185dedda75e02d75344c,0.002
270,bfb492baf9b8e7687191f1c36e054f79,0.002
273,cef7c7ac469312f9f6900f2854cd08b6,0.002
274,08c7c41c2495d1bf0e50ac754711356f,0.002
275,eba56f778ec03b76a22b0bb2c635ab4f,0.003
276,3de10061eef77be3a89957ec0a321264,0.003
278,270f0330fb60c9cd545df13394db06ee,0.003
279,559d55c78e3519c9bb2e34e40af0db90,0.003
282,fd6a8b52286a5bd6c702d45127c1aecf,0.003
283,a4feb7bd8511f582ffb5023299178ff4,0.003
285,f6031ccf9ad7b7a197c45617ef925cb6,0.003
288,71c3e517ff70664e79a7dcd75e6e1dc9,0.003
289,2fe950b8b6c328c3dc76420a3a3387d3,0.003
290,109aa235b33a01e09e5080f4cca5839d,0.003
291,e5847ca3df209918422da7d5a7b1cd98,0.003
294,4058812501b4d775c1b9f96ef510f35d,0.003
295,8c68897a5f37a575130d082a5685e0f2,0.003
297,69bf0a8bf793632efe492eb6be2d202c,0.003
298,5440f09ff5b124a9ac61f2a950c1d31a,0.003
299,83ecf5b6afac9898bd430eb7800f9a70,0.003
300,1bdfb6a026fdc704530f4a8f051372f0,0.003
302,13f9cb2ec3a36295c0242ad4ecdbd558,0.003
303,58e44b4cba641784bc4819945d120bb9,0.003
305,c858385963530a41bb6fb7f8947aa614,0.003
306,527e1d5fcd5f1b4a24716dbe5a5d1b50,0.003
308,a368515c631d217008c228a430413263,0.003
309,35b1f6b68f10f9e37295fca128cb10b6,0.003
311,df6fc6f7789e5e781e8c65523bb8fc17,0.003
312,c339194951cfeafb602ecb480398b553,0.003
313,ec6f040397cda49167cfe917f7a0e029,0.003
315,bdab5862500f45c25b6a6b216316219d,0.003
317,b1116fffdc4608f9b7f00a5d6fa44d1f,0.003
318,1db8fe74e8a74be409c6da39a0e9860c,0.003
319,640872fbff94b29354a6ab9e8291c5ae,0.003
320,0ed200398451110389a01e660ba98e47,0.003
321,ac927a7ff1869dc2dc73d1d16d403184,0.003
322,02cd5088774774918b324c6642488a9c,0.003
323,3a7eacfc70d57638d22e5af02abe43b7,0.003
324,ae7721fe6d16071bef524bc9079abc0e,0.003
327,fca573b76a8e2d75177f3438b5cc1a17,0.003
331,e4a2998fd1856f77bd927945a1c7bf51,0.003
332,fe447f311693bcf0e91f2886f90f4cd7,0.003
334,4984de0c66386cfec1620cc3b8b80024,0.003
335,7d9cbb373fddba4ce2cddcec96bccbeb,0.003
336,720c9a8ba9e35fd9b944f67e7a6fe6b4,0.003
337,9ed347c3394656d6dd75e72e22dfb75d,0.003
338,3c5f5530415f6cd3fe7d0d780d4c692b,0.003
339,a3af30329899d166bec56ea2fa6bb593,0.003
340,eb985b01fccc017e6ffca6bf0c2dd015,0.003
341,b1c2cfe32816b7561a95bb5d62d6aa2f,0.003
345,e84341b6f53f2bde4b1fc436793bb6ee,0.003
346,00b81e9b086c6b44253d552452b5eaf2,0.003
348,b627eb901e49ed7d921fcff40065dbb3,0.004
349,b38e2f255ee4802f12799043d42ded68,0.004
351,b25d804dbe41f8db08e01526c72b32cc,0.004
352,d26fead3a49560f0d3ff8a931a46f7f5,0.004
355,8663fdd30a9e8769178fc32ed02cf6da,0.004
356,a75ea3b51da12b6aef5ae2ffa164aa42,0.004
359,86fec8ee07c5cf36f259fae08bf1bd14,0.004
361,ca792b6c4dfc40cb4f82177c0ce75135,0.004
362,6008b9b7961be9b8a104104f5e5b4a45,0.004
363,e348992e3c150e9e7c3c2f02fae1ae6b,0.004
364,8e25ab4b0aa53f3fce67ca91ede2b224,0.004
365,e9abc1de6bd24d10ebe608959d0e5bac,0.004
366,0178ba794692d930832895d7aae30ae0,0.004
367,b371f35f74892ee4ea7daebcf10d1f61,0.004
369,0540e76625e5b62e3347bde9fc57741f,0.004
370,184fda2ad9bd18a5d4fd1613ce9b8af5,0.004
371,c642dbaf5b3b52fb22dedb5cb02a86f5,0.004
372,86b6e30332aae23fd77b146f410d68f3,0.004
374,97e53a2c1c1d3971595cde912b21c18e,0.004
375,097c1243265d86a943f57e9ce9388396,0.004
376,38f562f6fcad9bd789ea6e67aa1b0db1,0.004
377,a5617570b22804aa25680fde7902df27,0.004
378,cfa36cbcfd30a07e46d6c38494c3ff1b,0.004
379,8d4bd89511404ace84e5006b05091dc6,0.004
381,ac2457e77e9a3e87cd49db29095b7d24,0.004
382,028b2111d990b7f862d81e6e4d357016,0.004
386,87b72be526dea4d87e7b72850263e2d7,0.004
387,a49091ee6e9b3150304e5d23640cbd95,0.004
389,56d78ddd451bc8fd05ef36e5c4d15ad7,0.004
391,7186738f570cf2d52511801af3d495e1,0.005
393,e3d3f588a1370a53a8cf7fbfa106578d,0.005
395,202ac0ff9f60c7de31423ab773f7cac8,0.005
397,8939a5e7cb692805d874c266ec29582c,0.005
399,4e8d9f5322ec7097450dd72c085e82b6,0.005
400,388744eae278a9988a6f4b950068cdef,0.005
402,6f6e87abe8b5136a7a8e1329955480f7,0.005
403,5c489b42e3adfd965effad76b1610aa5,0.005
406,1cc6ef77b35ec96d8d80f6637f3a5084,0.005
407,ba678cfc7cce8504330e3371fcc1b27f,0.005
408,744c7c7bba99e8de93fcda523bc849b0,0.005
409,698d29909ae53f72812a549dab3c24f8,0.005
410,addd1dd894ea8c9f03e0791fb024fd4b,0.005
411,510ec1b8fc7b11eb8c0e524ad8b0f15f,0.005
413,7f486d778c431823eec4d27a5aa44e89,0.005
415,c9233027ab866e9642a6bee219384328,0.005
417,a0817bf9bfb11e453bfa3ac02c5bd7db,0.005
420,9c2e770d6a88d77b14b4b33e144d420d,0.005
422,74328225ad65ed158075d80e47122b6f,0.005
423,bc854e965f1c3158db0ccc1d7c598d1e,0.005
424,036103887407ab1a29a425399460ef95,0.005
425,c9a4c66e2dc0032c59c97eb463f05c30,0.005
426,824c42a3b57ca9cacd68ce90ae962dd9,0.005
427,6bfe7ccc619ffc08d427ae1dd02601a1,0.005
428,152eed771e21f6ea6319ebf4e2d29d6a,0.005
429,6c03e266f227481ca63e80fb24a27e33,0.005
430,cc30a5102c041bbb1f17d3e4891b6193,0.005
431,e458fa0c160f7cb8234585c90671a4ff,0.005
432,2a24a4544798bfb68f108883510b11f4,0.005
435,e8945ed56835481e2d845707e26b653f,0.006
437,eafcb0368228f27889a04aca6a7fc3bd,0.006
438,2aa0a69e9630a8c74bb67c5f779f657b,0.006
439,3d5728f2630d66f723ed215b80088157,0.006
440,f2c11b870ed4d03663f79203241eaca7,0.006
441,76608a36ab68e3da5d6dd4c248707b11,0.006
445,18704104c9e80799bce3abe2b459983d,0.006
446,1a644aefecff73fd87d05c26fce4c517,0.006
447,6a279ce2cf94e6b9baca0ef2ec54f70f,0.006
449,7e944e2bb8330462d5935087bc2f2fc3,0.006
451,c01b430b575074f0850d1fd869fd4b31,0.006
452,fb49a20a9a4942d3a6bc05c153e94213,0.006
453,6c3da0869b28c892795e97e25c3201f4,0.006
455,7c775ccf082f800b95cfaf2aa9cc4cee,0.006
456,2e09fa8bb3d01754d6dbf1733417cf17,0.006
457,fc128e3dd11e25d61c9795fe391c142d,0.006
458,062c7355c9401311ab23a54c8dc2d6e1,0.006
459,847c4f044a1bd166abe1a47adc9eca6f,0.006
460,c2413031482376d9b6bc2b194f39df59,0.006
461,e89a2bcf96b321dab87708452378d57e,0.006
462,ffddc0dbb7fa28b00a5b6ddc8e7e317c,0.006999999999999999
466,5c16ce86b96a5a03730a1d0ea550554b,0.006999999999999999
468,47d8bb6097185276294e92bea842be3a,0.006999999999999999
469,99710714f6fc5f9772b9b23126fd7bb0,0.006999999999999999
470,4ca52ecd7e3c582bfcddf527de3d8452,0.006999999999999999
471,e2bd1cf55c85046cb716f27ac20cf7a9,0.006999999999999999
472,4a9c8fb8375557e4d279ec8866b7a46a,0.006999999999999999
473,e1611510f18bb6b19cee4ccb4cdfb4ae,0.006999999999999999
475,ff6e04e908968e94f38e84df2987a95a,0.006999999999999999
476,497775c0a71c5c12dd1a1f2e133885bb,0.006999999999999999
477,7db3cabe574ecdd45aadc5d177eeb57c,0.006999999999999999
479,11208d17e7fa471bd8c2b933928ce5f2,0.006999999999999999
480,66bc82542d96fb5ecfe0e707f2163f69,0.006999999999999999
482,1660bf57c9b846e922644ba3ead6e291,0.006999999999999999
483,7f83f36a4302602d73b34b6b5ff0d5c6,0.006999999999999999
486,7efc25c0d9ca2fb1d63925d4208756a8,0.006999999999999999
487,29039f9405fcd50ffe8292e29b7f6657,0.006999999999999999
488,462c50e519f3c5360b277756fdaec123,0.006999999999999999
489,1f9de601c4a4d3b2784678d711d0aba3,0.006999999999999999
490,e138a2b015c7906d224f157bc743f6ef,0.006999999999999999
492,e597880ffd78521b937456d6ae102646,0.006999999999999999
494,5ed83d4464e47b882914596823446fb6,0.006999999999999999
495,ae69d4128357429b5f61b1419bed3d59,0.008
496,56c3f798792457377172c6be77270672,0.008
497,76c8cb1219762e3333a1fa4593e661bf,0.008
498,8cd29d6ecbdd8a545e27de7d5a181fea,0.008
503,9002b3384e884befb81dfb78b581932e,0.008
504,c92c0dea50e9e1a481fba9e7a261a53f,0.008
506,2e837ac08f48de71dd32dc311e354810,0.008
507,79b1c088968868bd54901b6317416c74,0.008
508,4c5f67fc8f1d7eaae963ef30e81cd6d1,0.008
510,81b466e0b964bba24066fb9a4148bf7a,0.008
512,5c3c6e8d7954fdee2e3227a692d2df8c,0.008
513,5cc14e5529230cb1409e66ec896d1d02,0.008
514,59f2aa36f0122e9db5f4df85ca7c6a7d,0.008
515,b98d1ad0702d9a38667ab8e15c342126,0.008
516,d1e89ba3c401aaf09de9b5703676aec4,0.008
518,5933aa2d37b7883845228eb5d99b1eb2,0.009000000000000001
519,2e1992b6aabb7cc7a0991ed9ec84f351,0.009000000000000001
520,acaea7e0ebd9e7f7fb2d512e30394f95,0.009000000000000001
521,1731f2295519eaa0b01c4de6b4250d3a,0.009000000000000001
522,f81b036518f8e43bcffbd4c68a5b7c85,0.009000000000000001
524,6d410c5455b1bc6524bc3b6cdfbc7515,0.009000000000000001
525,0634adffbf492893d5a1352af9722a1b,0.009000000000000001
526,6b011bde2894cfb435fd674f94359c84,0.009000000000000001
527,e0bb0f05aa6823bddee312429820c1dc,0.009000000000000001
530,9c399dc5951eb63ee49e0d9ae1320610,0.009000000000000001
531,1cb3a08ce04fe7c074bc7b3e08376fef,0.009000000000000001
533,089121ea8aafc10a9f31777b0d17c379,0.009000000000000001
534,c219499d9ff5f996b402914d1581d99b,0.01
536,6d993338e26ab71e9e3f24f52401d67c,0.01
537,cf06edaca066301163d89ab63032156e,0.01
539,ac08d9a1f5507cd8492f0d5bae7649a4,0.01
540,f40a684da926b80755e1f9eb9055ede5,0.01
541,832125caaa876956cf4cf3eb06732dd5,0.01
543,a44de9918b75441407c739782bee03c4,0.01
544,5dbe225a546a680640eb5f7902b42cdd,0.01
547,5bb6afc266af6c27230b39a0ceaa4214,0.01
548,8bec90bc3c8a08698ab341653aaac80a,0.01
549,37415d2db05b0e66afd103ce752b4231,0.01
550,643c35dea3b4574d3fb98e283967a915,0.01
552,ba5283c3eeff82588e2ecdcb5d0ea5da,0.01
553,1f3d0a0a616208b04f6444841c097e31,0.01
554,0c8992ca4747fe66ead82293b80dee32,0.01
555,6ec8c9e84ae181508d1d218723303db1,0.01
558,eb3565cf1b6008c52172b125a1c3194e,0.011
559,6e48f446f946cf307ad8eb48bee358dc,0.011
561,3c5cff5898251bd3f4a1075846b9bd14,0.011
562,6ed4341ad9d2902873f3d9272f5f4df1,0.011
563,0b58e3902bcb5b7940af8bbd039e4275,0.011
565,b680ba1066fea88419e395ade3ddb125,0.011
566,6d821fb3a350f30a5d414a773ea7e225,0.011
567,e3b02e600a9c05121fa11cfc99f6a7b1,0.011
568,cd5e30e5f29ff9eb03d5be4380518e1a,0.012
569,6f6eabb1f2f8a416a97895fe77af056a,0.012
570,994e355b4bacdab7a5115dd827c4c016,0.012
572,426b3729c06b0c2f226733d43d940f20,0.012
574,f2365302d3469980967424b86bd1b114,0.012
576,bf2fa572fab7d082c18ef122698c11b6,0.012
577,3f4f50d1e42d9a09cc823a44456f3e2f,0.013
578,ce2c6512ea71296bf2d6a5f048142b3e,0.013
581,650d526dd67fcb441e32a8d7dec773db,0.013
584,7ddf11a6871acd4ce5c367b17ed55796,0.013
585,98ff59c466cefd9db8a775ad6debe038,0.013
586,91fadf0c76d2c846294d91c5fc6eb063,0.013
587,63d40acb25b6c0727e769bccf182af29,0.013
588,9caabc73c55b3431509b8e965a92674a,0.013
589,97c832a49482948b1ebf544a3cccb25b,0.014
593,b20f7d4624a16a1e2866fb52ed57663e,0.014
594,ac3e8321913074d6573c8a743dffb8f4,0.014
595,9ef311289d35e1a880980cb4f753cc47,0.014
596,5e4fd60bab5dd0a917a6c0a598d46ee1,0.014
597,2b1d3edb765ec06b94f8114bfdcb1840,0.014
598,2b6727d2f255fe82d76f3e195c08cd89,0.014
599,e13fff4fac1c0fc7feff465c58dd72da,0.014
601,bde4f74585ff4511a4ac812ff983cf04,0.015
602,0fdebf7cf638cb35b5547019a4251f20,0.015
604,5d1fd6fa1e0ace2d2170c125dad5eb09,0.015
605,3b1d170981038f65f18f9f8b32aef17c,0.015
607,348e0131640a006ea48247be3a0084d0,0.015
608,8fed13cf51c479d2ac4949dff27d42c0,0.015
611,c1a4cd2f572f10d682cb3966a417d46f,0.015
612,949d9e1ccba1d583e58c4dcd20034454,0.015
613,87df2977fa506142ade684ccfeaf3ba9,0.015
614,85d4470a73f889084197ba909b8d86a7,0.016
615,3d5875f1e22ade1b5fa56e7cff4c7fec,0.016
616,2c93268674429ea6908dfe9a532fd8cc,0.016
619,8d7b8b89034cdcbe0376fedfb8c51ab3,0.016
621,1f051603fd6d1d9f1aed4e0cb9b22538,0.016
622,73d430876cc9a6eafa5bccd1a8253473,0.016
624,fcbb22cb0cbbba1ab132d08bb6e11003,0.017
626,4d3ca213b639541c5ba4cf8a69b1e1ed,0.017
627,d909f47b61671004a8f9b76500e5dc10,0.017
628,9f637795636b60766d28b91b68286a47,0.017
629,6753297bd6aa3d9773e2a3ca36986cf4,0.017
631,113449551b7252eb3a7478f4a58113a2,0.017
632,415469a2826bed5442d9591094b6fa11,0.017
633,8b2dddbc7bd3ca930f07df2c0b1f05b1,0.017
636,edf5c42a79e2038664545714221a58db,0.018000000000000002
637,0efede250ca3d05f9d4cc3609242d804,0.018000000000000002
638,5aebe67aeb4a373b28bc6b1dbd657616,0.018000000000000002
639,4f1f41887af256ba7f9b33ecd931a8e4,0.018000000000000002
640,e9381006a678c5c392062fdc807d3270,0.018000000000000002
642,0025accbb2e3dfbfe6f5b3a4562bdee0,0.018000000000000002
643,9a12a1e6d57b533d6d8f03ee0caad287,0.018000000000000002
645,22d5d4d6e9b6772911a93642be9ca5d6,0.019
646,5f6f8792ad750dc625bb588cf1543def,0.019
648,e56491c981fc437d9e9346ebf792f1fc,0.019
649,9ee3a6ae28ad1b10a136eb4dfc9fcb99,0.019
650,8dc96be31cc2d5dd0db5d607a2de4689,0.019
652,e060566916f59044185918f213b2cc0e,0.02
653,593cec6692d98e172dc85a58ae651c62,0.02
654,5fc30b55b8a92d9633c5fe1866ca6d95,0.02
657,2915c6fb8ae822bb89e8a80dc4076723,0.02
658,9beae2d781118f271a4180410bbfae99,0.021
659,75e17d5b3f6113ab461d4248b13efa6d,0.021
661,958490406787f4029ace6dfbd28d5035,0.021
662,0e9945e01bf6e69f40d393ef1ece96a6,0.022
663,9cc1cb331d39effa5bb5f0e1fb068876,0.022
666,ef661053dda0716104805ae9e26e4a1a,0.022
667,e682d5211a579585bb0ff7c5de4fc225,0.022
668,9a50c397a6967218a93fb31742e8c7b0,0.022
669,9d62a7ab2a5e5c29650f801d11662166,0.023
670,6860a9c84bad3ab0d3a3a9c54325830d,0.023
671,ba6c2a3277c2620d5b7ba76e3a1038d5,0.023
672,c64c7c6ba0bff9f8aa3654792cbf1000,0.023
674,a3555ad237008836cf19327ddbef241b,0.024
675,dc45a5066c7ece1aef82acbcad0b2b4b,0.024
677,66d18074aa4d6a900155131c60728b86,0.024
678,7f0c59c03971558543ddcee83499747b,0.024
680,dbc5b761566051f252b1f4d873f424b9,0.024
681,e4b59f6d861731fcb9c997d9c045e13d,0.024
683,e6686477543f4c262e1d8351053f9fe0,0.024
684,df8398246cee4979032d6630bcfa5058,0.024
685,47e52256e47714454f5f8152d3f6e747,0.025
687,c63b6c6b8de09b542834e25a15dae747,0.025
688,70d076e4fba554e86b5890f8cf95436d,0.025
690,b51303674ef28106643ad34748e66e5b,0.025
691,b3be5f5a5e6e4c9f5a3134fbe9395c35,0.025
692,29b5fe79074a22aa11be367a6f23e6ce,0.025
693,63940595ed154d5689f06cf82df6acc7,0.026
694,5227ca0cf9f2a4f20dc38045cd44642a,0.026
695,1573a37eb3eeb81f69cb0a22b7fd448b,0.026
696,c7e1d453a77f6e8fdeab3d3fc33f33e8,0.026
699,e6716a985cebd12689c787cb580ebcb0,0.027000000000000003
701,f1f7c02ec9a603a9b9f3ff6c7caba7bc,0.027000000000000003
702,fdea7f65f3935920dd8c74f3dd7ca74b,0.027000000000000003
703,13699575af66ff77ab3b6947bb4e2698,0.027000000000000003
705,85020b99f49c91cd257639acd84c4910,0.028
706,ab27f19d74b501ada33d4c92794925c4,0.028
707,e86fedd300da736928854eab3fde9061,0.028
708,093bb5d4aea8b43ae8cb537b04714306,0.028
711,9e58f106b6b192b53fe8cfc77651d6b0,0.03
713,380ad6e9d053693ab13f4da6940169ee,0.03
714,2f7a999decf655e28e87ecd70f90cafd,0.03
715,472e48ea34d5d7f5eadbbd8a9b8f76af,0.03
716,621467fbc1c50559587e78d9d77fda38,0.03
