,unit,ts,qty,geography_level,geography,product_level,product
36,122364cb3a042086d9509cb2a1386443,2021-03-01,2055,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,db9e166331f89037c1b3590adfaa18d4
39,fe44ecc1b69af78d9f127ef083586d3e,2021-03-01,3414,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,93a97f63f0a573483d49c58dc02c1341
40,232ec3966a318969eec46ad5647da2f8,2021-03-01,485,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,579cf4cbf3d63c78deffc623c0de643f
41,42330433f2befb34447db75b3b1f45cf,2021-03-01,778,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
42,79b1c088968868bd54901b6317416c74,2021-03-01,80,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,3241cf89eaf210f13321fe6280c7d172
47,a31b6fc53d57419631077bbfe4b241ba,2021-03-01,707,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
48,8a54612bdaf867b47ca31e7ecc225021,2021-03-01,1394,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,93a97f63f0a573483d49c58dc02c1341
51,9ee3a6ae28ad1b10a136eb4dfc9fcb99,2021-03-01,308,geography_level_3,5f82497e6ba74177eacda9f48d2ebb8f,product_level_2,814119e4a116199cf494768f31987158
52,37415d2db05b0e66afd103ce752b4231,2021-03-01,165,geography_level_3,5f82497e6ba74177eacda9f48d2ebb8f,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
53,531c05467dd6e6a5e0e4e30974668539,2021-03-01,1734,geography_level_3,5f82497e6ba74177eacda9f48d2ebb8f,product_level_2,db9e166331f89037c1b3590adfaa18d4
56,22d5d4d6e9b6772911a93642be9ca5d6,2021-03-01,254,geography_level_3,a8047d24376e2ce5c62663d435629812,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
57,e765c2a1026a46ccfebc4dad578fbbbc,2021-03-01,957,geography_level_3,a8047d24376e2ce5c62663d435629812,product_level_2,db9e166331f89037c1b3590adfaa18d4
58,e6716a985cebd12689c787cb580ebcb0,2021-03-01,445,geography_level_3,a8047d24376e2ce5c62663d435629812,product_level_2,579cf4cbf3d63c78deffc623c0de643f
59,d8bd2310fc6903339591e4e90c1a1204,2021-03-01,766,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,814119e4a116199cf494768f31987158
61,4ea2ddd9f0d81edc713699960a32c18b,2021-03-01,470,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
62,85020b99f49c91cd257639acd84c4910,2021-03-01,279,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
63,32f3048da47f7f33319630b0d2ec3810,2021-03-01,19,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,db9e166331f89037c1b3590adfaa18d4
64,7db3cabe574ecdd45aadc5d177eeb57c,2021-03-01,118,geography_level_3,07a477a6ed5cbdba0e1eb3f497960e8f,product_level_2,3241cf89eaf210f13321fe6280c7d172
67,5fc2b5aeae81d7f330c9c38d1866e200,2021-03-01,7,geography_level_3,4106271eb9e60b9c01d4213e41f09e1d,product_level_2,db9e166331f89037c1b3590adfaa18d4
68,dc45a5066c7ece1aef82acbcad0b2b4b,2021-03-01,260,geography_level_3,4106271eb9e60b9c01d4213e41f09e1d,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
69,7f486d778c431823eec4d27a5aa44e89,2021-03-01,72,geography_level_3,11407e1f167b84f374d9e999a1ed9563,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
70,f2ece34d3236c9f4cab7acd497c02bf2,2021-03-01,613,geography_level_3,c22caf17e6d3e86f4ac0d7a603a4d5a6,product_level_2,db9e166331f89037c1b3590adfaa18d4
72,adb5c8f84e762106974f80d3be303a55,2021-03-01,609,geography_level_3,22ec2860549baef5c3e9af46967a3e1d,product_level_2,db9e166331f89037c1b3590adfaa18d4
74,527e1d5fcd5f1b4a24716dbe5a5d1b50,2021-03-01,39,geography_level_3,098256d91571e71ac0b656eb75d4b5f4,product_level_2,1807ffa2c1c84035f4346c3364104dd1
75,830dd3620bc18f86de4d882c8e67b6ad,2021-03-01,17,geography_level_3,098256d91571e71ac0b656eb75d4b5f4,product_level_2,45fe7a01980958e559fa0473c20c8c58
76,593cec6692d98e172dc85a58ae651c62,2021-03-01,350,geography_level_3,098256d91571e71ac0b656eb75d4b5f4,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
79,e458fa0c160f7cb8234585c90671a4ff,2021-03-01,88,geography_level_3,098256d91571e71ac0b656eb75d4b5f4,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
80,e4a2998fd1856f77bd927945a1c7bf51,2021-03-01,45,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,814119e4a116199cf494768f31987158
81,c642dbaf5b3b52fb22dedb5cb02a86f5,2021-03-01,67,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,3241cf89eaf210f13321fe6280c7d172
82,698d29909ae53f72812a549dab3c24f8,2021-03-01,54,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,1807ffa2c1c84035f4346c3364104dd1
83,9cc1cb331d39effa5bb5f0e1fb068876,2021-03-01,280,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,db9e166331f89037c1b3590adfaa18d4
84,1cc4a07906b10c305d83c4bcdc0f10bc,2021-03-01,354,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
86,650d526dd67fcb441e32a8d7dec773db,2021-03-01,243,geography_level_3,71c115abc5c045dfea887565abcfcf04,product_level_2,579cf4cbf3d63c78deffc623c0de643f
90,a3af30329899d166bec56ea2fa6bb593,2021-03-01,32,geography_level_3,d88fe8bab1fa287362c5b0d7ba13de48,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
91,88f33d6f7e6795d524b5cc4628df690f,2021-03-01,1234,geography_level_3,4106271eb9e60b9c01d4213e41f09e1d,product_level_2,814119e4a116199cf494768f31987158
92,1f3d0a0a616208b04f6444841c097e31,2021-03-01,177,geography_level_3,07a477a6ed5cbdba0e1eb3f497960e8f,product_level_2,1807ffa2c1c84035f4346c3364104dd1
93,e6cdccb9027c2468f12d09d55a56daec,2021-03-01,1156,geography_level_3,3d967bd11c42cd595c050d8cb626f3d6,product_level_2,579cf4cbf3d63c78deffc623c0de643f
94,6c03e266f227481ca63e80fb24a27e33,2021-03-01,81,geography_level_3,3d967bd11c42cd595c050d8cb626f3d6,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
96,2e9772baa6ebfd10b3f683a2d0028ac8,2021-03-01,1924,geography_level_3,07a477a6ed5cbdba0e1eb3f497960e8f,product_level_2,93a97f63f0a573483d49c58dc02c1341
99,348e0131640a006ea48247be3a0084d0,2021-03-01,225,geography_level_3,9363300bfece4e2faac6330570a2f7b6,product_level_2,814119e4a116199cf494768f31987158
100,63940595ed154d5689f06cf82df6acc7,2021-03-01,396,geography_level_3,9363300bfece4e2faac6330570a2f7b6,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
101,3d2b6754ef69686ce9907ab0c125b6b4,2021-03-01,2054,geography_level_3,9363300bfece4e2faac6330570a2f7b6,product_level_2,db9e166331f89037c1b3590adfaa18d4
102,d54010a670b21f532269d115fca941d8,2021-03-01,719,geography_level_3,9363300bfece4e2faac6330570a2f7b6,product_level_2,579cf4cbf3d63c78deffc623c0de643f
104,5c3c6e8d7954fdee2e3227a692d2df8c,2021-03-01,155,geography_level_3,ac17865ba94b6a06b53466188fc4e446,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
106,eb3565cf1b6008c52172b125a1c3194e,2021-03-01,137,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,a95738cb3a3c4236b858683b406dea98
107,d5ccbdfb57bcb5620f1b8de938ff8be5,2021-03-01,1131,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
108,4c67288c2628b80c51fd7273dce983c7,2021-03-01,2160,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,db9e166331f89037c1b3590adfaa18d4
109,fcbb22cb0cbbba1ab132d08bb6e11003,2021-03-01,202,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,45fe7a01980958e559fa0473c20c8c58
110,bf06fdfc1adfc5a76961a244b782b411,2021-03-01,961,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
112,ab27f19d74b501ada33d4c92794925c4,2021-03-01,351,geography_level_3,d3d107b6fe93bf6ed02cf207de4bce75,product_level_2,579cf4cbf3d63c78deffc623c0de643f
113,f1f7c02ec9a603a9b9f3ff6c7caba7bc,2021-03-01,445,geography_level_3,39a8345be72b8ff2f30e29dc836d7e12,product_level_2,814119e4a116199cf494768f31987158
114,5aebe67aeb4a373b28bc6b1dbd657616,2021-03-01,189,geography_level_3,39a8345be72b8ff2f30e29dc836d7e12,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
116,e682d5211a579585bb0ff7c5de4fc225,2021-03-01,261,geography_level_3,3d967bd11c42cd595c050d8cb626f3d6,product_level_2,814119e4a116199cf494768f31987158
118,f9622882aa29d21645c552bddc0ab64b,2021-03-01,801,geography_level_3,3d967bd11c42cd595c050d8cb626f3d6,product_level_2,db9e166331f89037c1b3590adfaa18d4
121,99710714f6fc5f9772b9b23126fd7bb0,2021-03-01,85,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,a95738cb3a3c4236b858683b406dea98
123,1a644aefecff73fd87d05c26fce4c517,2021-03-01,87,geography_level_3,81b55678c362384058b1536471412c48,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
125,8aa97bb705f78f014a9046130df0b03a,2021-03-01,0,geography_level_3,de6d760cf1aac2523f6dd3794e611f5d,product_level_2,1807ffa2c1c84035f4346c3364104dd1
126,119a92ee61c74e162709aedb9953377c,2021-03-01,6,geography_level_3,de6d760cf1aac2523f6dd3794e611f5d,product_level_2,45fe7a01980958e559fa0473c20c8c58
127,b627eb901e49ed7d921fcff40065dbb3,2021-03-01,50,geography_level_3,de6d760cf1aac2523f6dd3794e611f5d,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
128,56d78ddd451bc8fd05ef36e5c4d15ad7,2021-03-01,55,geography_level_3,de6d760cf1aac2523f6dd3794e611f5d,product_level_2,93a97f63f0a573483d49c58dc02c1341
130,152eed771e21f6ea6319ebf4e2d29d6a,2021-03-01,69,geography_level_3,de6d760cf1aac2523f6dd3794e611f5d,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
131,a9f6af1f0062224b4f10d276f4ac2d5c,2021-03-01,1,geography_level_3,6e22fd2ff7cfc0a02dc8e230e94e16a6,product_level_2,1807ffa2c1c84035f4346c3364104dd1
132,35d3a30c307b93f836abd419472a269a,2021-03-01,7,geography_level_3,6e22fd2ff7cfc0a02dc8e230e94e16a6,product_level_2,45fe7a01980958e559fa0473c20c8c58
138,c9a4c66e2dc0032c59c97eb463f05c30,2021-03-01,74,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,1807ffa2c1c84035f4346c3364104dd1
139,ba5283c3eeff82588e2ecdcb5d0ea5da,2021-03-01,156,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,db9e166331f89037c1b3590adfaa18d4
141,13699575af66ff77ab3b6947bb4e2698,2021-03-01,426,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
142,ee0f3f9c7af6549abfbfccce533e6029,2021-03-01,518,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,93a97f63f0a573483d49c58dc02c1341
143,b25d804dbe41f8db08e01526c72b32cc,2021-03-01,54,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,579cf4cbf3d63c78deffc623c0de643f
144,02c79e63cc9f3f9722ad613c1f0831f7,2021-03-01,19,geography_level_3,6f613c88f6435d0e8f47eee574804e6c,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
145,7e944e2bb8330462d5935087bc2f2fc3,2021-03-01,71,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,814119e4a116199cf494768f31987158
146,3601516f24aba6ee6c5ad2af58a1df34,2021-03-01,7,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,1807ffa2c1c84035f4346c3364104dd1
149,0e9945e01bf6e69f40d393ef1ece96a6,2021-03-01,228,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,db9e166331f89037c1b3590adfaa18d4
150,1f9de601c4a4d3b2784678d711d0aba3,2021-03-01,72,geography_level_3,3f4f7017fa0708fc899d89c851d1a5de,product_level_2,579cf4cbf3d63c78deffc623c0de643f
151,2f7a999decf655e28e87ecd70f90cafd,2021-03-01,348,geography_level_3,3f4f7017fa0708fc899d89c851d1a5de,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
152,5e4fd60bab5dd0a917a6c0a598d46ee1,2021-03-01,226,geography_level_3,55536ba3606ef023932f9532b11797a5,product_level_2,db9e166331f89037c1b3590adfaa18d4
153,93c2dd0cce97a4a92cc1daf36f4e7df2,2021-03-01,13,geography_level_3,55536ba3606ef023932f9532b11797a5,product_level_2,45fe7a01980958e559fa0473c20c8c58
154,2e837ac08f48de71dd32dc311e354810,2021-03-01,121,geography_level_3,55536ba3606ef023932f9532b11797a5,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
156,d909f47b61671004a8f9b76500e5dc10,2021-03-01,286,geography_level_3,55536ba3606ef023932f9532b11797a5,product_level_2,579cf4cbf3d63c78deffc623c0de643f
157,b74b91ee70839752608187c3c9d8836d,2021-03-01,20,geography_level_3,55536ba3606ef023932f9532b11797a5,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
158,c9233027ab866e9642a6bee219384328,2021-03-01,52,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,814119e4a116199cf494768f31987158
160,8c68897a5f37a575130d082a5685e0f2,2021-03-01,34,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
161,9ef311289d35e1a880980cb4f753cc47,2021-03-01,168,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,db9e166331f89037c1b3590adfaa18d4
162,ac08d9a1f5507cd8492f0d5bae7649a4,2021-03-01,172,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
163,fe447f311693bcf0e91f2886f90f4cd7,2021-03-01,39,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,93a97f63f0a573483d49c58dc02c1341
164,48526f84251dc54cc78f91e3d65e2bb4,2021-03-01,13,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,579cf4cbf3d63c78deffc623c0de643f
165,8e25ab4b0aa53f3fce67ca91ede2b224,2021-03-01,53,geography_level_3,557bc4db3ebfa9a39c242079d6015dd8,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
166,fd6a8b52286a5bd6c702d45127c1aecf,2021-03-01,34,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,1807ffa2c1c84035f4346c3364104dd1
167,113449551b7252eb3a7478f4a58113a2,2021-03-01,311,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,db9e166331f89037c1b3590adfaa18d4
168,33c6a63cf584680949a927b5f2b4a597,2021-03-01,14,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,45fe7a01980958e559fa0473c20c8c58
169,380ad6e9d053693ab13f4da6940169ee,2021-03-01,382,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
170,70d076e4fba554e86b5890f8cf95436d,2021-03-01,305,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,93a97f63f0a573483d49c58dc02c1341
171,6a279ce2cf94e6b9baca0ef2ec54f70f,2021-03-01,73,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,579cf4cbf3d63c78deffc623c0de643f
172,e1f711289e92c38c5fb93d71354634e4,2021-03-01,9,geography_level_3,cfcb575b4a1fc05255ef88307ffbeaa9,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
176,08c7c41c2495d1bf0e50ac754711356f,2021-03-01,28,geography_level_3,3f4f7017fa0708fc899d89c851d1a5de,product_level_2,db9e166331f89037c1b3590adfaa18d4
178,eada20c4ba7316435e9c6b3d0612abb8,2021-03-01,18,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,45fe7a01980958e559fa0473c20c8c58
179,d23ee6399fa8fde28e1d404b8f31ceb7,2021-03-01,363,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
180,6f6e87abe8b5136a7a8e1329955480f7,2021-03-01,76,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,579cf4cbf3d63c78deffc623c0de643f
182,68a0a6f70a6a3dcb4159f4b83ba12c05,2021-03-01,6,geography_level_3,4e29298af61683b28df48f81d9798f55,product_level_2,45fe7a01980958e559fa0473c20c8c58
183,e5847ca3df209918422da7d5a7b1cd98,2021-03-01,30,geography_level_3,4e29298af61683b28df48f81d9798f55,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
184,5c489b42e3adfd965effad76b1610aa5,2021-03-01,78,geography_level_3,4e29298af61683b28df48f81d9798f55,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
185,a45a35260a76ad0d9e6c8c927df7be90,2021-03-01,5,geography_level_3,8bffa7eb4c165b3fc8fbcdcc7d5e25ff,product_level_2,45fe7a01980958e559fa0473c20c8c58
186,5e1a688825e36b3b2ddfdacea136b9a8,2021-03-01,20,geography_level_3,8bffa7eb4c165b3fc8fbcdcc7d5e25ff,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
187,5edc6fc84c7dd89ce63938aee6a61185,2021-03-01,5,geography_level_3,8b2bbea7dd24f1427bd37e74936047c7,product_level_2,45fe7a01980958e559fa0473c20c8c58
188,addd1dd894ea8c9f03e0791fb024fd4b,2021-03-01,55,geography_level_3,8b2bbea7dd24f1427bd37e74936047c7,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
189,8663fdd30a9e8769178fc32ed02cf6da,2021-03-01,40,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
191,0b0db6dbaddf6a2e5ed6eba8680d9549,2021-03-01,1,geography_level_3,f05fa82955925441f3a4c9d7092fa5f5,product_level_2,579cf4cbf3d63c78deffc623c0de643f
192,3e13389035db3a462d26e01b2b4871eb,2021-03-01,2,geography_level_3,b55d6f976871ef58e585e8c25f3689e7,product_level_2,1807ffa2c1c84035f4346c3364104dd1
195,2fe950b8b6c328c3dc76420a3a3387d3,2021-03-01,35,geography_level_3,a8047d24376e2ce5c62663d435629812,product_level_2,450a7d37ed3260ce3e9ea79cc40f11a5
196,b831e8a16aa20eca762325784878f565,2021-03-01,22,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,814119e4a116199cf494768f31987158
198,4984de0c66386cfec1620cc3b8b80024,2021-03-01,39,geography_level_3,36ab7b000da26b0547bfc3c3fdf143dc,product_level_2,db9e166331f89037c1b3590adfaa18d4
200,2c93268674429ea6908dfe9a532fd8cc,2021-03-01,211,geography_level_3,143c7c36a05254135b45911c609d8c78,product_level_2,a95738cb3a3c4236b858683b406dea98
201,3e52fb3144811a9fef969aacfe6aa414,2021-03-01,11,geography_level_3,143c7c36a05254135b45911c609d8c78,product_level_2,1807ffa2c1c84035f4346c3364104dd1
202,b371f35f74892ee4ea7daebcf10d1f61,2021-03-01,64,geography_level_3,143c7c36a05254135b45911c609d8c78,product_level_2,45fe7a01980958e559fa0473c20c8c58
205,ae7721fe6d16071bef524bc9079abc0e,2021-03-01,36,geography_level_3,4e29298af61683b28df48f81d9798f55,product_level_2,a95738cb3a3c4236b858683b406dea98
206,c63b6c6b8de09b542834e25a15dae747,2021-03-01,367,geography_level_3,ec258532d911270434f328606cba61b6,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
209,c969e521693610ba941eee4a25b5e885,2021-03-01,6,geography_level_3,e60518d19f0550fd8fd7d33f529a8b5e,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
211,79b2dc0d925fdcad4667bcff352cad80,2021-03-01,10,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,814119e4a116199cf494768f31987158
213,958490406787f4029ace6dfbd28d5035,2021-03-01,234,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,1807ffa2c1c84035f4346c3364104dd1
214,bc1bdcba11f4100625577053a9c1d4d1,2021-03-01,3470,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,6c46c9c5d3ef936b4c8d6d8f9851e837
215,ac4a5924abfdfabdefbf7e6a92d3b9fe,2021-03-01,1497,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,93a97f63f0a573483d49c58dc02c1341
216,994e355b4bacdab7a5115dd827c4c016,2021-03-01,121,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,579cf4cbf3d63c78deffc623c0de643f
217,5d1fd6fa1e0ace2d2170c125dad5eb09,2021-03-01,271,geography_level_3,70a676d52f1f61781eca038528be816d,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
218,87b72be526dea4d87e7b72850263e2d7,2021-03-01,59,geography_level_3,7b61250107b0ab94a35b9b80168df40d,product_level_2,3241cf89eaf210f13321fe6280c7d172
219,74328225ad65ed158075d80e47122b6f,2021-03-01,76,geography_level_3,7b61250107b0ab94a35b9b80168df40d,product_level_2,1807ffa2c1c84035f4346c3364104dd1
220,a4feb7bd8511f582ffb5023299178ff4,2021-03-01,40,geography_level_3,d88fe8bab1fa287362c5b0d7ba13de48,product_level_2,ba569a9ecbaa99645f9baf060d5061e7
224,179e84d896bf9bcd3d0008ec2cfbdedd,2021-03-01,4919,geography_level_3,7b61250107b0ab94a35b9b80168df40d,product_level_2,93a97f63f0a573483d49c58dc02c1341
225,5227ca0cf9f2a4f20dc38045cd44642a,2021-03-01,492,geography_level_3,7b61250107b0ab94a35b9b80168df40d,product_level_2,579cf4cbf3d63c78deffc623c0de643f
